issue,title,validator comment,grade,size,Best
findings-112,QA Report,,Unsatisfactory,3109,
findings-122,QA Report,,Unsatisfactory,145,
findings-127,QA Report,,Satisfactory,214,
findings-132,QA Report,,Unsatisfactory,342,
findings-135,QA Report,,Unsatisfactory,121,
findings-154,QA Report,,Satisfactory,1,
findings-157,QA Report,,Unsatisfactory,79,
findings-48,QA Report,,Unsatisfactory,59,
findings-69,QA Report,,Unsatisfactory,391,
findings-89,QA Report,,Unsatisfactory,54,
findings-9,QA Report,,Unsatisfactory,22,
findings-93,QA Report,,Unsatisfactory,32,
validation-112,QA Report,,Unsatisfactory,22,
validation-115,Gas Optimizations,,Unsatisfactory,28,
validation-117,QA Report,,Unsatisfactory,726,
validation-118,Gas Optimizations,,Unsatisfactory,55,
validation-149,QA Report,,Unsatisfactory,147,
validation-156,QA Report,,Unsatisfactory,1448,
validation-157,QA Report,,Unsatisfactory,1448,
validation-158,QA Report,,Unsatisfactory,1448,
validation-185,QA Report,,Unsatisfactory,211,
validation-206,QA Report,,Unsatisfactory,18,
validation-21,QA Report,,Unsatisfactory,26,
validation-217,QA Report,,Satisfactory,418,
validation-224,QA Report,,Unsatisfactory,2,
validation-225,Gas Optimizations,,Unsatisfactory,36,
validation-244,QA Report,,Unsatisfactory,583,
validation-28,Gas Optimizations,,Unsatisfactory,23,
validation-285,Gas Optimizations,,Satisfactory,158,
validation-286,QA Report,,Unsatisfactory,196,
validation-29,Gas Optimizations,,Unsatisfactory,13,
validation-301,Gas Optimizations,,Unsatisfactory,11,
validation-32,QA Report,,Unsatisfactory,9391,
validation-33,Gas Optimizations,,Satisfactory,3958,★★★
validation-338,QA Report,,Satisfactory,95,
validation-36,QA Report,,Unsatisfactory,3,
validation-376,QA Report,,Satisfactory,86,
validation-386,QA Report,,Satisfactory,1592,
validation-410,QA Report,,Satisfactory,961,★★★
validation-415,Gas Optimizations,,Unsatisfactory,104,
validation-418,QA Report,,Unsatisfactory,136,
validation-420,QA Report,,Unsatisfactory,148,
validation-447,QA Report,,Unsatisfactory,80,
validation-478,QA Report,,Unsatisfactory,1,
validation-479,QA Report,,Unsatisfactory,149,
validation-48,QA Report,,Unsatisfactory,110,
validation-506,QA Report,,Unsatisfactory,590,
validation-507,QA Report,,Unsatisfactory,77,
validation-518,Gas Optimizations,,Unsatisfactory,69,
validation-524,QA Report,,Unsatisfactory,18,
validation-537,QA Report,,Unsatisfactory,15,
validation-560,QA Report,,Unsatisfactory,49,
validation-577,QA Report,,Unsatisfactory,191,
validation-589,QA Report,,Unsatisfactory,7,
validation-591,QA Report,,Unsatisfactory,24,
validation-63,QA Report,,Unsatisfactory,22,
validation-637,QA Report,,Unsatisfactory,44,
validation-638,QA Report,,Satisfactory,170,
validation-640,QA Report,,Unsatisfactory,27,
validation-650,QA Report,,Satisfactory,102,
validation-660,QA Report,,Satisfactory,1580,
validation-661,QA Report,,Unsatisfactory,32,
validation-67,QA Report,,Unsatisfactory,31,
validation-681,Gas Optimizations,,Unsatisfactory,22,
validation-687,QA Report,,Unsatisfactory,84,
validation-69,Gas Optimizations,,Unsatisfactory,12,
validation-698,QA Report,,Satisfactory,57,
validation-707,QA Report,,Unsatisfactory,55,
validation-71,QA Report,,Unsatisfactory,68,
validation-723,QA Report,,Unsatisfactory,54,
validation-724,QA Report,,Unsatisfactory,17,
validation-731,QA Report,,Unsatisfactory,151,
validation-78,Gas Optimizations,,Satisfactory,126,
validation-83,QA Report,,Unsatisfactory,1,
validation-99,QA Report,,Unsatisfactory,16,
