issue,title,validator comment,grade,size,Best
findings-112,QA Report,,Satisfactory,3109,
findings-122,QA Report,,Unsatisfactory,145,
findings-127,QA Report,L-5 dup of validation#127; L-8 dup of validation#34; some constructive suggestions,Satisfactory,214,★★✰
findings-132,QA Report,QA-5 dup of findings#33; constructive suggestions,Satisfactory,342,★✰✰
findings-135,QA Report,,Satisfactory,121,
findings-154,QA Report,L-02 dup of findings#17,Satisfactory,1,
findings-157,QA Report,,Satisfactory,79,
findings-48,QA Report,constructive suggestions,Satisfactory,59,
findings-69,QA Report,L-05 dup of findings#343,Satisfactory,391,
findings-89,QA Report,,Satisfactory,54,
findings-9,QA Report,dup of findings#15,Satisfactory,22,
findings-93,QA Report,L-2 dup of validation#34,Satisfactory,32,
validation-112,QA Report,,Unsatisfactory,22,
validation-115,Gas Optimizations,,Unsatisfactory,28,
validation-117,QA Report,,Unsatisfactory,726,
validation-118,Gas Optimizations,,Unsatisfactory,55,
validation-149,QA Report,,Satisfactory,147,
validation-156,QA Report,"identical to validation#157 #158, no individual constructive entries",Unsatisfactory,1448,
validation-157,QA Report,"identical to validation#156 #158, no individual constructive entries",Unsatisfactory,1448,
validation-158,QA Report,"identical to validation#156 #157, no individual constructive entries",Unsatisfactory,1448,
validation-185,QA Report,,Unsatisfactory,211,
validation-206,QA Report,,Unsatisfactory,18,
validation-21,QA Report,,Unsatisfactory,26,
validation-217,QA Report,,Satisfactory,418,
validation-224,QA Report,,Unsatisfactory,2,
validation-225,Gas Optimizations,,Unsatisfactory,36,
validation-244,QA Report,,Satisfactory,583,
validation-28,Gas Optimizations,,Unsatisfactory,23,
validation-285,Gas Optimizations,,Unsatisfactory,158,
validation-286,QA Report,,Unsatisfactory,196,
validation-29,Gas Optimizations,,Unsatisfactory,13,
validation-301,Gas Optimizations,,Unsatisfactory,11,
validation-32,QA Report,useless to sponsor,Unsatisfactory,9391,
validation-33,Gas Optimizations,,Unsatisfactory,3958,
validation-338,QA Report,"L-02 dup of validation#30
 L-03 dup of validation#34
 L-06 dup of validation#555",Satisfactory,95,
validation-36,QA Report,,Unsatisfactory,3,
validation-376,QA Report,L-01 dup of findings#33,Satisfactory,86,
validation-386,QA Report,,Unsatisfactory,1592,
validation-410,QA Report,useless to sponsor,Unsatisfactory,961,
validation-415,Gas Optimizations,,Unsatisfactory,104,
validation-418,QA Report,,Satisfactory,136,
validation-420,QA Report,,Satisfactory,148,
validation-447,QA Report,,Satisfactory,80,
validation-478,QA Report,,Unsatisfactory,1,
validation-479,QA Report,,Satisfactory,149,
validation-48,QA Report,L-01 dup of validation#325,Satisfactory,110,
validation-506,QA Report,,Satisfactory,590,★★✰
validation-507,QA Report,"Low-08 dup of findings#33
 L-10 dup of validation#182",Satisfactory,77,
validation-518,Gas Optimizations,,Unsatisfactory,69,
validation-524,QA Report,,Unsatisfactory,18,
validation-537,QA Report,"L-01 dup of validation#343
 L-05 dup of validation#127",Satisfactory,15,
validation-560,QA Report,,Unsatisfactory,49,
validation-577,QA Report,dup of findings#6,Satisfactory,191,
validation-589,QA Report,,Unsatisfactory,7,
validation-591,QA Report,,Satisfactory,24,
validation-63,QA Report,,Unsatisfactory,22,
validation-637,QA Report,,Unsatisfactory,44,
validation-638,QA Report,,Unsatisfactory,170,
validation-640,QA Report,,Unsatisfactory,27,
validation-650,QA Report,,Satisfactory,102,
validation-660,QA Report,,Unsatisfactory,1580,
validation-661,QA Report,"L-1 dup of validation#315
 L-2 dup of validation#441
 L-5 dup of validation#602",Satisfactory,32,
validation-67,QA Report,,Unsatisfactory,31,
validation-681,Gas Optimizations,,Unsatisfactory,22,
validation-687,QA Report,useless to sponsor,Unsatisfactory,84,
validation-69,Gas Optimizations,,Unsatisfactory,12,
validation-698,QA Report,,Satisfactory,57,
validation-707,QA Report,,Unsatisfactory,55,
validation-71,QA Report,,Unsatisfactory,68,
validation-723,QA Report,"L-1 dup of findings#343
 L-2 dup of validation#182
 info-6 dup of findings#33",Satisfactory,54,
validation-724,QA Report,,Unsatisfactory,17,
validation-731,QA Report,QA-03 dup of validation#34,Satisfactory,151,
validation-78,Gas Optimizations,,Unsatisfactory,126,
validation-83,QA Report,,Unsatisfactory,1,
validation-99,QA Report,,Unsatisfactory,16,
